Id,Season,SiteId,Site,Nestbox,CH1903X,CH1903Y,CH1903Altitude,WGS84Latitude,WGS84Longitude,WGS84Altitude,LayingDate,LayingDateErrorMargin,PredictedLayingDate,PredictedLayingDateErrorMargin,MaleRing,FemaleRing,FailureReason,FailureDate,SizeOriginally,SizeAfterCrossFostering,IncompleteEggCount,HatchSizeBiolObserved,HatchSizeBiolSupposed,HatchSizeRaisedObserved,HatchSizeRaisedSupposed,UnhatchedEggs,InfertileEggs,DeadEmbryos,AbandonedEggs,BrokenEggs,Fledglings,AnnClutchBySite,AnnClutchByMale,AnnClutchByFemale,CrossFostered,CrossFosteredPartial,ClutchIdRaised1,ClutchIdRaised2,ClutchIdRaised3,EggsTakenForCrossFostering,CrossFosteringType,SuccessfulClutchNumberByNestbox,SuccessfulClutchNumberBySite,SuccessfulClutchNumberByMaleRing,SuccessfulClutchNumberByFemaleRing,AttemptedClutchNumberByNestbox,AttemptedClutchNumberBySite,AttemptedClutchNumberByMaleRing,AttemptedClutchNumberByFemaleRing,BornEggs,BornAliveEggs,BornDeadEggs,BornDeadEggsUnspecified,BornDeadEggsInfertile,BornDeadEggsEmbryo,BornDeadEggsAbandoned,BornDeadEggsBroken,BornUnobservedEggs,RaisedEggs,RaisedAliveEggs,RaisedDeadEggs,RaisedDeadEggsUnspecified,RaisedDeadEggsInfertile,RaisedDeadEggsEmbryo,RaisedDeadEggsAbandoned,RaisedDeadEggsBroken,RaisedUnobservedEggs,BornBirds,BornNestlingsEstimated,BornNestlingsObserved,BornFledglingsEstimated,BornFledglingsObserved,BornAdultsEstimated,BornAdultsObserved,HatchBirds,HatchNestlingsEstimated,HatchNestlingsObserved,HatchFledglingsEstimated,HatchFledglingsObserved,HatchAdultsEstimated,HatchAdultsObserved,RaisedBirds,RaisedNestlingsEstimated,RaisedNestlingsObserved,RaisedFledglingsEstimated,RaisedFledglingsObserved,RaisedAdultsEstimated,RaisedAdultsObserved
-47,1989,20,Chesard,20A,,,,,,,01/01/1989,,,,,860293,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46,1989,31,Corges,31B,,,,,,,01/01/1989,,,,,860177,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45,1989,34,Cugy S,34A,,,,,,,01/01/1989,,,,,859947,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44,1989,39,Delley Vieux,39,,,,,,,01/01/1989,,,,,862721,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-43,1989,43,Dompierre Monney Medart,43C,,,,,,,11/07/1989,,,,,,,,,,,,,,,,,,,,,1,,,0,,-43,,,,,1,1,,,1,1,,,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,0,2,0
-42,1989,48,Fetigny,48,,,,,,,01/01/1989,,,,,858840,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41,1989,62,Granges-Sous-Trey,62B,,,,,,,01/01/1989,,,,,862728,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,1989,64,Henniez Jaton,64A,,,,,,,01/01/1989,,,,,862700,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39,1989,95,Portalban,95C,,,,,,,01/01/1989,,,,859929,862727,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-38,1989,99,Rueyres Palud,99B,,,,,,,01/01/1989,,,,,861492,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37,1989,101,Rueyres Vuidiere,101,,,,,,,01/01/1989,,,,,861231,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36,1989,117,Vallon51,117B,,,,,,,01/01/1989,,,,,859804,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-35,1989,119,Vesin,119A,,,,,,,01/01/1989,,,,860246,860243,,,,,,,,,,,,,,,,1,1,1,0,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990,2,Autavaux Moillets,2,,,,,,,14/04/1990,,,,,861492,,,5,5,,5,,5,,0,0,0,,,4,1,,1,0,,1,,,,,1,1,,1,1,1,,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0
2,1990,524,AvenchesHO,524,,,,,,,30/04/1990,,,,,865025,,,,,,,,,,2,,,,,1,1,,1,0,,2,,,,,1,1,,1,1,1,,1,6,4,2,2,0,0,0,0,6,6,4,2,2,0,0,0,0,6,4,4,4,1,1,1,0,4,4,4,1,1,1,0,4,4,4,1,1,1,0
3,1990,4,Avenches HNE,4,,,,,,,18/06/1990,,,,,,,,,,,,,,,2,,,,,1,2,,,0,,,,,,,1,1,,,1,1,,,3,1,2,2,0,0,0,0,3,3,1,2,2,0,0,0,0,3,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
4,1990,130,Avenches HNO,130,,,,,,,29/04/1990,,,,,865027,,,7,7,,7,,7,,0,0,0,,,4,1,,1,0,,,,,,,1,1,,1,1,1,,1,7,7,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,7,7,7,7,4,4,0,0,7,7,7,4,4,0,0,7,7,7,4,4,0,0
5,1990,6,Avenches Rueyres,6,,,,,,,07/04/1990,,,,,865024,,,,,,,,,,0,,,,,4,1,,1,0,,5,,,,,1,1,,1,1,1,,1,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0
6,1990,11,Bellechasse Menuiserie,11,,,,,,,19/03/1990,,,,,,,,,,,,,,,,,,,,0,1,,,0,,6,,,,,1,1,,,1,1,,,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3,0,3,3,3,3,0,3,0,3,3,3,3,0,3,0
7,1990,11,Bellechasse Menuiserie,11,,,,,,,02/06/1990,,,,,865469,,,,,,,,,,,,,,,5,2,,1,0,,7,,,,,2,2,,1,2,2,,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
8,1990,12,Bellerive,12A,,,,,,,26/04/1990,,,,,862892,,,5,5,,5,,5,,0,0,0,,,3,1,,1,0,,8,,,,,1,1,,1,1,1,,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,4,4,4,3,0,3,0,4,4,4,3,0,3,0,4,4,4,3,0,3,0
9,1990,13,Bussy,13A,,,,,,,30/03/1990,,,,,823934,,,,,,,,,,0,,,,,5,1,,1,0,,9,,,,,1,1,,1,1,1,,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
10,1990,16,Chatillon Lambert,16,,,,,,,10/04/1990,,,,,865317,,,,,,,,,,0,,,,,4,1,,1,0,,10,,,,,1,1,,1,1,1,,1,7,7,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,7,7,7,7,4,0,4,0,7,7,7,4,0,4,0,7,7,7,4,0,4,0
11,1990,20,Chesard,20A,,,,,,,01/05/1990,,,,,862200,,,6,6,,,,,,0,0,0,,,4,1,,1,0,,11,,,,,1,1,,1,1,1,,1,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,5,5,5,4,0,4,0,5,5,5,4,0,4,0,5,5,5,4,0,4,0
12,1990,21,Chevroux,21B,,,,,,,13/04/1990,,,,,865307,,,,,,,,,,0,,,,,4,1,,1,0,,12,,,,,1,1,,1,1,1,,1,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0
13,1990,24,Corcelles CimAlpes,24,,,,,,,15/04/1990,,,,,862728,,,8,8,,,,,,0,0,0,,,4,1,,1,0,,13,,,,,1,1,,1,1,1,,1,8,8,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,8,8,8,8,4,0,4,0,8,8,8,4,0,4,0,8,8,8,4,0,4,0
14,1990,26,Corcelles Dresco,26,,,,,,,17/05/1990,,,,862877,865302,,,,,,,,,,1,,,,,2,1,1,1,0,,14,,,,,1,1,1,1,1,1,1,1,3,2,1,1,0,0,0,0,3,3,2,1,1,0,0,0,0,3,2,2,2,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,0,2,0
15,1990,28,Corcelles GDLV,28C,,,,,,,01/01/1990,,,,,,,,,,,,,,,,,,,,0,1,,,0,,,,,,,1,1,,,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1990,34,Cugy S,34A,,,,,,,29/03/1990,,,,,,,,6,6,,6,,6,,0,0,0,,,6,1,,,0,,16,,,,,1,1,,,1,1,,,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,6,0,6,0,6,6,6,6,0,6,0,6,6,6,6,0,6,0
17,1990,37,Curtilles Prevondens,37A,,,,,,,26/04/1990,,,,,859937,,,7,7,,7,,7,,0,0,0,,,3,1,,1,0,,17,,,,,1,1,,1,1,1,,1,7,7,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,7,7,7,7,3,0,3,0,7,7,7,3,0,3,0,7,7,7,3,0,3,0
18,1990,39,Delley Vieux,39,,,,,,,25/04/1990,,,,,862721,,,9,9,,8,,8,,1,,,,,3,1,,1,0,,18,,,,,1,1,,1,1,1,,1,9,8,1,1,0,0,0,0,9,9,8,1,1,0,0,0,0,9,5,5,5,3,0,3,0,5,5,5,3,0,3,0,5,5,5,3,0,3,0
19,1990,43,Dompierre Monney Medart,43C,,,,,,,02/04/1990,,,,865327,,,,,,,,,,,0,,,,,2,1,1,,0,,19,,,,,1,1,1,,1,1,1,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,4,0,4,0,5,5,5,4,0,4,0,5,5,5,4,0,4,0
20,1990,48,Fetigny,48,,,,,,,19/04/1990,,,,,865171,,,6,6,,6,,6,,0,0,0,,,2,1,,1,0,,20,,,,,1,1,,1,1,1,,1,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,5,5,5,2,0,2,0,5,5,5,2,0,2,0,5,5,5,2,0,2,0
21,1990,52,Frasses,52B,,,,,,,02/04/1990,,,,,865172,,,6,6,,6,,6,,0,0,0,,,2,1,,1,0,,21,,,,,1,1,,1,1,1,,1,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,2,2,2,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,0,2,0
22,1990,55,Gletterens,55D,,,,,,,01/05/1990,,,,,862862,,,7,7,,7,,7,,0,0,0,,,4,1,,1,0,,22,,,,,1,1,,1,1,1,,1,7,7,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,7,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0
23,1990,160,Greng,160,,,,,,,22/04/1990,,,,,865308,,,6,6,,6,,6,,0,0,0,,,0,1,,1,0,,,,,,,1,1,,1,1,1,,1,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,6,6,0,0,0,0,6,6,6,0,0,0,0
24,1990,62,Granges-Sous-Trey,62B,,,,,,,25/04/1990,,,,865166,860177,,,,,,,,,,0,,,,,3,1,1,1,0,,24,,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,3,0,3,0,6,6,6,3,0,3,0,6,6,6,3,0,3,0
25,1990,64,Henniez Jaton,64A,,,,,,,01/01/1990,,,,,862729,,,6,6,,,,,,,,,,,0,1,,1,0,,,,,,,1,1,,1,1,1,,1,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1990,66,Jeuss,66C,,,,,,,01/05/1990,,,,,862896,,,,,,,,,,,,,,,6,1,,1,0,,26,,,,,2,2,,2,2,2,,2,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,6,0,6,0,6,6,6,6,0,6,0,6,6,6,6,0,6,0
27,1990,66,Jeuss,66C,,,,,,,01/01/1990,,,,,862896,,,9,9,,,,,,,,,,,0,2,,2,0,,,,,,,1,1,,1,1,1,,1,9,9,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1990,70,Lully,70,,,,,,,06/05/1990,,,,,,,,,,,,,,,1,,,,,2,1,,,0,,,,,,,1,1,,,1,1,,,3,2,1,1,0,0,0,0,3,3,2,1,1,0,0,0,0,3,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0
29,1990,72,Marnand,72B,,,,,,,09/05/1990,,,,865326,865374,,,6,6,,6,,6,,0,0,0,,,3,1,1,1,0,,29,,,,,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,5,5,5,3,2,3,0,5,5,5,3,2,3,0,5,5,5,3,2,3,0
30,1990,75,Missy Teddy,75,,,,,,,06/04/1990,,,,,,,,,,,,,,,0,,,,,4,1,,,0,,30,,,,,1,1,,,1,1,,,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0
